Title,Price,CurrencyIso,Url,Refurbished,Model,MPN,Brand,UpdateTime,Category,Source,Grade
"Acer Chromebook 315 | N4000 | 15.6""",0.0,EUR,https://www.refurbed.de/p/acer-315-n4000-15-6/,True,,,Acer,2025-06-08T05:07:26.866437,Laptops,50,
"Acer Chromebook 315 | N4500 | 15.6""",0.0,EUR,https://www.refurbed.de/p/acer-315-n4500-15-6/,True,,,Acer,2025-06-08T05:07:26.866469,Laptops,50,
"Acer Aspire 3 Spin A3SP14-31PT | Processor N100 | 14""",0.0,EUR,https://www.refurbed.de/p/acer-a-3-spin-a3sp14-31pt-3-n100/,True,,,Acer,2025-06-08T05:07:26.866476,Laptops,50,
"Acer Aspire 3 Spin A3SP14-31PT | i3-N305 | 14""",0.0,EUR,https://www.refurbed.de/p/acer-a-3-spin-a3sp14-31pt-3-n305/,True,,,Acer,2025-06-08T05:07:26.866483,Laptops,50,
"Acer Aspire 5 Spin 14 A5SP14-51MTN | i5-1335U | 14""",0.0,EUR,https://www.refurbed.de/p/acer-a-5-spin-a5sp14-51mtn-1335u/,True,,,Acer,2025-06-08T05:07:26.866488,Laptops,50,
"Acer Aspire 5 Spin 14 A5SP14-51MTN | i7-1355U | 14""",0.0,EUR,https://www.refurbed.de/p/acer-a-5-spin-a5sp14-51mtn-i7-14/,True,,,Acer,2025-06-08T05:07:26.866494,Laptops,50,
"Acer Aspire Spin 14 | i5-1335U | 14""",1197.99,EUR,https://www.refurbed.de/p/acer-a-spin-14-i5-1335u/,True,16 GB | 512 GB SSD | Win 11 Home | IT | Grade AA (322017),18452,Acer,2025-06-08T05:07:26.866501,Laptops,50,AA
Acer Go True Wireless AHR162,0.0,EUR,https://www.refurbed.de/p/acer-ahr162/,True,,,Acer,2025-06-08T05:07:26.866511,Audio,50,
Acer AHW910,0.0,EUR,https://www.refurbed.de/p/acer-ahw910/,True,,,Acer,2025-06-08T05:07:26.866516,Audio,50,
Acer ASA630 Active Stylus Pen,0.0,EUR,https://www.refurbed.de/p/acer-asa630-active-stylus-pen/,True,,,Acer,2025-06-08T05:07:26.866521,Accessories,50,
"Acer Aspire 1 | 14"" | Pentium Silver N5000",0.0,EUR,https://www.refurbed.de/p/acer-aspire-1-14-pentium-silver-/,True,,,Acer,2025-06-08T05:07:26.866526,Laptops,50,
"Acer Aspire 1 A114-61-S2JG | Snapdragon 7c | 14""",0.0,EUR,https://www.refurbed.de/p/acer-aspire-1-a114-61-s2jg/,True,,,Acer,2025-06-08T05:07:26.866532,Laptops,50,
"Acer Aspire 1 A114-61-S2RF | Snapdragon 7c | 14""",0.0,EUR,https://www.refurbed.de/p/acer-aspire-1-a114-61-s2rf-7c/,True,,,Acer,2025-06-08T05:07:26.866537,Laptops,50,
